sub_category,product_name,salt_composition,product_price,product_manufactured,medicine_desc,side_effects,drug_interactions
Human Insulin Basal,Human Zinulin 40IU/ml Injection,Insulin Isophane (40IU),₹163.28,Novo Nordisk India Pvt Ltd,"Human Zinulin 40IU/ml Injection is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Human Zinulin 40IU/ml Injection is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Insulatard 100IU/ml Solution for Injection,Insulin Isophane (100IU),₹331.5,Novo Nordisk India Pvt Ltd,"Insulatard 100IU/ml Solution for Injection is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Insulatard 100IU/ml Solution for Injection is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Basal,Humanext N 40IU/ml Injection,Insulin Isophane (40IU),₹129.41,Cadila Pharmaceuticals Ltd,"Humanext N 40IU/ml Injection is used to improve blood sugar control in adults and children with type 1 and type 2 diabetes mellitus. It is an intermediate-acting type of insulin that helps to lower blood sugar levels and reduce the chances of developing serious complications of diabetes.Humanext N 40IU/ml Injection is often prescribed along with short-acting insulin or other oral diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. Don’t stop taking it unless your doctor tells you to. It is only part of a treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.The most common side effect of this medicine is low blood sugar levels (hypoglycemia). To prevent this, it's important to always inject the correct dose of medicine only, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Repeated puncturing of the same site of the skin may lead to lipodystrophy (skin thickening or pits at the injection site). Some people may gain weight or develop edema (swelling over the whole body due to fluid retention) while taking insulin.Do not use this medicine when you have low blood glucose levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Weight gain,Edema (swelling)","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Premix,Insuman 100IU Solution for Injection,HUMAN PREMIX (100IU),₹213.18,Sanofi India  Ltd,Most side effects do not require any medical attention and disappear as your body adjusts to the medicine. Consult your doctor if they persist or if you’re worried about them,"Rash,Injection site allergic reaction,Lipodystrophy (skin thickening or pits at the injection site),Itching,Hypoglycemia (low blood glucose level)","{""drug"": [""Amiloride"", ""Beclometasone"", ""Betamethasone"", ""Chlorthalidone""], ""brand"": ["" Amiur"", "" Becoride, Rhinase, Bevent"", "" Densol, Catrisol, Betaforte"", "" Chlornol""], ""effect"": [""SERIOUS"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}"
Human Insulin Rapid,Human Actrapid 40IU/ml Solution for Injection,Human insulin (40IU),₹133.93,Novo Nordisk India Pvt Ltd,"Human Actrapid 40IU/ml Solution for Injection is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Human Actrapid 40IU/ml Solution for Injection is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Rapid,Actrapid HM 100IU/ml Penfill,Human insulin (100IU),₹271.15,Novo Nordisk India Pvt Ltd,"Actrapid HM 100IU/ml Penfill is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Actrapid HM 100IU/ml Penfill is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Rapid,Actrapid 100 IU/ml Flexpen,Human insulin (100IU),₹440.3,Novo Nordisk India Pvt Ltd,"Actrapid 100 IU/ml Flexpen is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Actrapid 100 IU/ml Flexpen is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Rapid,Huminsulin R 40IU/ml Injection,Human insulin (40IU),₹133.45,Eli Lilly and Company India Pvt Ltd,"Huminsulin R 40IU/ml Injection is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Huminsulin R 40IU/ml Injection is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Rapid,Huminsulin R 100IU Cartridge,Human insulin (100IU),₹300.9,Eli Lilly and Company India Pvt Ltd,"Huminsulin R 100IU Cartridge is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Huminsulin R 100IU Cartridge is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Rapid,Insugen-R 40IU/ml Solution for Injection,Human insulin (40IU),₹133.36,Biocon,"Insugen-R 40IU/ml Solution for Injection is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Insugen-R 40IU/ml Solution for Injection is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Rapid,Insugen-R 100IU/ml Refil,Human insulin (100IU),₹182.25,Biocon,"Insugen-R 100IU/ml Refil is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Insugen-R 100IU/ml Refil is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Rapid,Lupisulin R 40IU/ml Solution for Injection,Human insulin (40IU),₹133.53,Lupin Ltd,"Lupisulin R 40IU/ml Solution for Injection is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Lupisulin R 40IU/ml Solution for Injection is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Rapid,Actrapid 100IU/ml Solution for Injection,Human insulin (100IU),₹331.5,Novo Nordisk India Pvt Ltd,"Actrapid 100IU/ml Solution for Injection is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Actrapid 100IU/ml Solution for Injection is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Rapid,Lupisulin R 100IU/ml Cartridge,Human insulin (100IU),₹224.32,Lupin Ltd,"Lupisulin R 100IU/ml Cartridge is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Lupisulin R 100IU/ml Cartridge is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Rapid,Wosulin-R 40IU/ml Injection,Human insulin (40IU),₹133.94,Wockhardt Ltd,"Wosulin-R 40IU/ml Injection is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Wosulin-R 40IU/ml Injection is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Rapid,Huminsulin R 100IU/ml Solution for Injection,Human insulin (100IU/ml),₹416.5,Eli Lilly and Company India Pvt Ltd,"Huminsulin R 100IU/ml Solution for Injection is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Huminsulin R 100IU/ml Solution for Injection is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
Human Insulin Rapid,Insugen-R 100IU/ml Solution for Injection,Human insulin (100IU),₹364.96,Biocon,"Insugen-R 100IU/ml Solution for Injection is a short-acting insulin used to treat type 1 and type 2 diabetes mellitus. It is used together with a healthy diet and regular exercise to control blood sugar levels after meals. This helps to prevent serious complications of diabetes like kidney damage and blindness.Insugen-R 100IU/ml Solution for Injection is normally prescribed along with a long-acting type of insulin or other diabetes medicines. Your doctor or nurse will teach you the correct way of injecting it under the skin. It should be taken 20-30 minutes before a meal. Do not stop taking it unless your doctor tells you to. It is only a part of the treatment program that should also include a healthy diet, regular exercise, and weight reduction as advised by your doctor.  Check your blood sugar levels regularly, keep track of your results and share them with your doctor. This is very important to work out the correct dose of the medicine for you.  The most common side effect of this medicine is low blood sugar levels (hypoglycemia). It may be seen if you do not eat right after a dose of this fast-acting insulin. To prevent this, it is important to always inject only the correct dose of medicine, have regular meals, and monitor your blood sugar levels regularly. Drinking excessive alcohol can also lead to a fall in your blood sugar levels. Other side effects include reactions at the injection site like redness or swelling. Some people gain weight while taking insulin. Do not use this medicine when you have low blood sugar levels (hypoglycemia). Tell your doctor if you have ever had kidney, liver or heart problems before starting treatment. Pregnant or breastfeeding women should also consult their doctor as the dose may need to be changed.","Hypoglycemia (low blood glucose level),Injection site allergic reaction","{""drug"": [""Benazepril"", ""Captopril"", ""Enalapril"", ""Fosinopril""], ""brand"": ["" Apriace"", "" Capotril, Aceten, Angiopril"", "" Enatol, AB-Pril, Inopril"", "" Fovas""], ""effect"": [""MODERATE"", ""MODERATE"", ""MODERATE"", ""MODERATE""]}"
