name,reference,food_interactions
Betaxolol,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['No food interactions are expected.']
Fluconazole,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. The absorption is unaffected by food.']
Oseltamivir,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Co-administration with food does not affect pharmacokinetics but may enhance tolerability.']
Erythromycin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products.', 'Take on an empty stomach. Allow approximately 30 minutes to 2 hours before meals, as this increases erythromycin absorption.', 'Take with a full glass of water.']"
Sildenafil,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. If taken with a high-fat meal the medicine may take a little longer to start working.']
Dofetilide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Exercise caution with grapefruit products. Grapefruit inhibits CYP3A4 metabolism, which may increase the serum concentration of dofetilide.', ""Exercise caution with St. John's Wort. Dofetilide is partially metabolized by CYP3A4, and St. John's Wort is a CYP3A4 inducer, coadministration may reduce dofetilide serum levels."", 'Take with or without food.']"
Pyrimethamine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Administer folic acid supplement. Folic acid need is increased.', 'Take with food. Food reduces irritation.']"
Reserpine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol.', 'Take with food. Food reduces irritation.']"
Azithromycin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.']
Ticlopidine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with a high fat meal. High fat meals will increase ticlopidine absorption.', 'Take with food. Food can help ticlopidine-induced stomach upset.']"
Trospium,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take on an empty stomach. Take at least 1 hour before food as the Cmax and AUC of trospium are reduced by 70-80% when taken with a high fat meal.']
Midodrine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. The absorption is unaffected by food.']
Pantoprazole,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. The absorption is unaffected by food.']
Torasemide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. Food delays the Cmax by 30 minutes but does not impact efficacy.']
Citalopram,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol.', ""Avoid St. John's Wort. Co-administration of St. John's Wort with citalopram can increase the risk of serotonin syndrome."", 'Take with or without food. The absorption is unaffected by food.']"
Eletriptan,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with or without food. High-fat meals increase exposure, but not to a clinically relevant extent.']"
Moxifloxacin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Drink plenty of fluids.', 'Take with or without food.']"
Nelfinavir,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with food. Food increases exposure and decreases pharmacokinetic variability.']
Glimepiride,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol. Acute and chronic alcohol intake may unpredictably affect the glucose-lowering action of glimepiride.', 'Take with food. The manufacturer recommends administration with the first meal of the day.']"
Indinavir,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid excessive or chronic alcohol consumption.', 'Avoid grapefruit products.', 'Take on an empty stomach. Take at least 1 hour before or 2 hours after meals.', 'Take with a full glass of water.']"
Lovastatin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products. Grapefruit products may increase the risk for lovastatin related adverse effects such as myopathy and rhabdomyolysis.', 'Take with food. Food increases bioavailability.']"
Pregabalin,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol. Alcohol may increase CNS effects.', 'Take with or without food. Food alters drug absorption, but not to a clinically significant extent.']"
Temazepam,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol.', 'Take with or without food.']"
Aminosalicylic acid,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. The absorption is unaffected by food.']
Butabarbital,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid alcohol. Concomitant use of alcohol and barbiturates may lead to increased.']
Nevirapine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol.', 'Take with or without food. The absorption is unaffected by food.']"
Butalbital,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Avoid alcohol. Profound CNS depression can occur.']
Cladribine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Take with or without food. When taken with oral tablets of cladribine, food decreases Cmax and prolongs Tmax, but not to a clinically significant extent.']"
Ranolazine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid grapefruit products.', 'Take with or without food. The absorption is unaffected by food.']"
Mesalazine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with or without food. The absorption is unaffected by food.']
Benzatropine,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol.', 'Take with food. Food reduces irritation.']"
Ziprasidone,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Avoid alcohol.', 'Take with food.']"
Methysergide,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.",['Take with food. Food reduces irritation.']
Cabergoline,"Knox C, Wilson M, Klinger CM, et al. DrugBank 6.0: the DrugBank Knowledgebase for 2024. Nucleic Acids Res. 2024 Jan 5;52(D1):D1265-D1275. doi: 10.1093/nar/gkad976.","['Exercise caution with grapefruit products. Cabergoline is partially metabolized through the CYP3A4 pathway. Therefore coadministration with grapefruit, a CYP3A4 inhibitor, may increase its serum concentration.', ""Exercise caution with St. John's Wort. Cabergoline is partially metabolized through the CYP3A4 pathway. Therefore coadministration with St. John's Wort, a CYP3A4 inducer, may reduce its serum concentration."", 'Take with or without food. Taking cabergoline with food may reduce gastric irritation.']"
